birdlife_name,aou_name,taxon_type,AOU
Dryobates,Picoides,genus,3960
Dryobates,Picoides,genus,3970
Dryobates,Picoides,genus,3940
Leuconotopicus,Picoides,genus,3930
Leuconotopicus,Picoides,genus,3950
Leuconotopicus,Picoides,genus,3990
auratus,auratus auratus,species,4120
cafer,auratus cafer,species,4130
Hylatomus,Dryocopus,genus,4050
Hesperiphona,Coccothraustes,genus,5140
vespertina,vespertinus,species,5140
Leiothlypis,Oreothlypis,genus,6470
Leiothlypis,Oreothlypis,genus,6460
Leiothlypis,Oreothlypis,genus,6430
Leiothlypis,Oreothlypis,genus,6450
Leiothlypis,Oreothlypis,genus,6440
coronata,coronata coronata,species,6550
audoboni,coronata audoboni,species,6560
Passerculus,Ammodramus,genus,5450
Passerculus,Ammodramus,genus,5470
Ammospiza,Ammodramus,genus,5480
Ammospiza,Ammodramus,genus,5491
Ammospiza,Ammodramus,genus,5500
